Address,Name,Size,BasicBlocks
00236d48,FUN_00236d48,12,1
00236e38,FUN_00236e38,100,4
00236ed8,FUN_00236ed8,108,4
00236f98,FUN_00236f98,60,3
00237048,FUN_00237048,56,1
00237300,FUN_00237300,60,1
002374f8,FUN_002374f8,44,3
00238218,FUN_00238218,120,6
00238328,FUN_00238328,48,3
00238eb8,FUN_00238eb8,8,1
002397d8,FUN_002397d8,116,8
002399b8,FUN_002399b8,28,1
00239a28,FUN_00239a28,28,1
00239c48,FUN_00239c48,44,4
00239ed8,FUN_00239ed8,260,18
0023a318,FUN_0023a318,2056,156
0023ab60,FUN_0023ab60,428,20
0023ae40,FUN_0023ae40,88,2
0023bec0,FUN_0023bec0,236,2
0023c048,FUN_0023c048,384,20
0023c118,FUN_0023c118,44,5
0023c6a0,FUN_0023c6a0,408,19
0023cd70,FUN_0023cd70,292,18
0023dd10,FUN_0023dd10,12,1
0023dd70,FUN_0023dd70,100,1
0023e010,FUN_0023e010,40,1
0023e554,FUN_0023e554,16,1
0023e568,FUN_0023e568,120,7
0023e5e0,FUN_0023e5e0,76,1
0023e748,FUN_0023e748,280,18
0023e868,FUN_0023e868,144,10
0023e8f8,FUN_0023e8f8,80,2
0023e988,FUN_0023e988,124,4
0023ed88,FUN_0023ed88,40,3
0023f370,FUN_0023f370,88,1
0023f3c8,FUN_0023f3c8,68,1
0023f680,FUN_0023f680,52,6
0023ff60,FUN_0023ff60,144,3
00240160,FUN_00240160,12,1
002401c8,FUN_002401c8,168,5
002405c0,FUN_002405c0,32,1
002405e0,FUN_002405e0,192,1
002407a8,FUN_002407a8,64,1
002407e8,FUN_002407e8,40,3
00240858,FUN_00240858,96,3
002408b8,FUN_002408b8,164,3
00240998,FUN_00240998,8,1
00240ac0,FUN_00240ac0,840,48
00240f00,FUN_00240f00,68,1
00241cc0,FUN_00241cc0,260,11
00241dc8,FUN_00241dc8,204,6
00242610,FUN_00242610,32,1
00242630,FUN_00242630,1256,79
00242b18,FUN_00242b18,24,1
00242b6c,FUN_00242b6c,28,1
00242b88,FUN_00242b88,276,18
00242f50,FUN_00242f50,1048,69
00243368,FUN_00243368,224,10
